Menu_Makanan,Kalori
Anggur,165
Apel merah,85
Belimbing,140
Blewah,70
Duku,80
Durian,35
Jeruk manis,110
Jambu air,110
Jambu biji,100
Jambu bol,90
Kolang-kaling,25
Kedondong,120
Kemang,105
Mangga,90
Nenas,95
Pisang,50
Pepaya,110
Rambutan,75
Kurma,15
Leci,75
Melon,190
Nangka masak,45
Peach,115
Sawo,55
Semangka,150
Sirsak,60
Gula,13
Madu,15
