Menu_Makanan,Kalori
Sayur Lodeh,122
Acar Kuning ,106
Bening Bayam,36
Cah Labu Siam,82
Sayur Asam,176
Sop Ayam Kombinasi,190
Sop Bayam,156
Sop Kimlo,208
Sop Mutiara Jagung,226
Asop Oyong Misoa,212
Sop Telur Utuh,232
Buntil ,212
Tumis Buncis ,104
